Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 89.56     90.04    90.04 108017432     0.00     0.00  ggml_vec_dot_q4_0_q8_0_esp_riscv
  6.20     96.27     6.23 11219832     0.00     0.00  ggml_vec_dot_q6_K_q8_K
  1.28     97.56     1.29  1401498     0.00     0.00  ggml_vec_dot_q4_1_q8_1
  0.69     98.25     0.69   274781     0.00     0.36  ggml_compute_forward_mul_mat
  0.63     98.88     0.63 13516431     0.00     0.00  ggml_vec_dot_f16
  0.26     99.14     0.26                             _init
  0.19     99.33     0.19     1061     0.18     0.18  void (anonymous namespace)::tinyBLAS_Q0_AVX<block_q4_0, block_q8_0, float>::gemm4xN<2>(long, long, long, long)
  0.15     99.48     0.15                             ggml_compute_forward
  0.10     99.58     0.10   102629     0.00     0.00  ggml_compute_forward_dup
  0.09     99.67     0.09    81218     0.00     0.00  ggml_compute_forward_rope_f32
  0.08     99.75     0.08    38450     0.00     0.00  quantize_row_q8_0
  0.07     99.82     0.07                             ggml_vec_mad_f32_unroll
  0.07     99.89     0.07   280147     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int> >, bool> std::_Rb_tree<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int>, std::_Select1st<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int> >, std::less<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int> > >::_M_emplace_unique<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, int&>(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&&, int&)
  0.06     99.95     0.06    36360     0.00     0.00  ggml_compute_forward_soft_max
  0.05    100.00     0.05   181214     0.00     0.00  ggml_vec_soft_max_f32
  0.04    100.04     0.04   125350     0.00     0.00  ggml_compute_forward_mul
  0.04    100.08     0.04    88828     0.00     0.00  ggml_compute_forward_rms_norm
  0.04    100.12     0.04      512     0.08     0.20  common_sampler_sample(common_sampler*, llama_context*, int, bool)
  0.04    100.16     0.04      512     0.08     0.11  void std::__heap_select<llama_token_data*, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_top_k_impl(llama_token_data_array*, int)::{lambda(llama_token_data const&, llama_token_data const&)#1}> >(llama_token_data*, llama_token_data*, llama_token_data*, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_top_k_impl(llama_token_data_array*, int)::{lambda(llama_token_data const&, llama_token_data const&)#1}>)
  0.04    100.20     0.04                             print_gemm_cfg
  0.03    100.23     0.03     1029     0.03     0.03  ggml_backend_sched_get_tensor_backend
  0.03    100.26     0.03      609     0.05     0.05  void (anonymous namespace)::tinyBLAS_Q0_AVX<block_q4_0, block_q8_0, float>::gemm4xN<1>(long, long, long, long)
  0.03    100.29     0.03                             ggml_vec_dot_q5_K_q8_K
  0.02    100.31     0.02   380136     0.00     0.00  ggml_fp32_to_fp16_row
  0.02    100.33     0.02   104421     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_typical_apply(llama_sampler*, llama_token_data_array*)::{lambda(unsigned long, unsigned long)#1}> >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_typical_apply(llama_sampler*, llama_token_data_array*)::{lambda(unsigned long, unsigned long)#1}>)
  0.02    100.35     0.02    40460     0.00     0.00  ggml_compute_forward_unary
  0.02    100.37     0.02      531     0.04     0.04  llama_sbatch::from_batch(llama_batch const&, unsigned long, bool, bool)
  0.02    100.39     0.02      513     0.04     0.22  llama_decode_internal(llama_context&, llama_batch)
  0.01    100.40     0.01  9977911     0.00     0.00  ggml_blck_size
  0.01    100.41     0.01  8736023     0.00     0.00  ggml_type_size
  0.01    100.42     0.01  2354340     0.00     0.00  ggml_is_contiguous_0
  0.01    100.43     0.01   693095     0.00     0.00  ggml_nbytes
  0.01    100.44     0.01   128256     0.00     0.00  std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.01    100.45     0.01   108360     0.00     0.00  ggml_visit_parents
  0.01    100.46     0.01    80551     0.00     0.00  ggml_compute_forward_add
  0.01    100.47     0.01      517     0.02     0.02  llama_sampler_penalties_accept(llama_sampler*, int)
  0.01    100.48     0.01      513     0.02     0.02  llama_kv_cache_find_slot(llama_kv_cache&, llama_ubatch const&)
  0.01    100.49     0.01      513     0.02     0.04  ggml_gallocr_alloc_graph
  0.01    100.50     0.01      341     0.03     0.03  quantize_row_q8_K_ref
  0.01    100.51     0.01        6     1.67     1.67  unicode_len_utf8(char)
  0.01    100.52     0.01        1    10.00    95.00  llm_load_vocab(llama_model_loader&, llama_model&)
  0.01    100.53     0.01        1    10.00    10.68  llama_vocab::~llama_vocab()
  0.01    100.54     0.01                             ggml_backend_alloc_ctx_tensors
  0.00    100.54     0.00  3182328     0.00     0.00  unicode_cpt_from_utf8(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long&)
  0.00    100.54     0.00  3176310     0.00     0.00  ggml_row_size
