Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 67.33     10.14    10.14 30468500     0.00     0.00  ggml_vec_dot_q4_0_q8_0
 20.12     13.17     3.03  7083137     0.00     0.00  ggml_vec_dot_q6_K_q8_K
  3.39     13.68     0.51   842518     0.00     0.00  ggml_vec_dot_q4_1_q8_1
  1.66     13.93     0.25   152808     0.00     0.09  ggml_compute_forward_mul_mat
  1.53     14.16     0.23     1036     0.22     0.22  void (anonymous namespace)::tinyBLAS_Q0_AVX<block_q4_0, block_q8_0, float>::gemm4xN<2>(long, long, long, long)
  1.20     14.34     0.18  6964096     0.00     0.00  ggml_vec_dot_f16
  0.60     14.43     0.09      622     0.14     0.14  void (anonymous namespace)::tinyBLAS_Q0_AVX<block_q4_0, block_q8_0, float>::gemm4xN<1>(long, long, long, long)
  0.53     14.51     0.08   280147     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int> >, bool> std::_Rb_tree<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int>, std::_Select1st<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int> >, std::less<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const, int> > >::_M_emplace_unique<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, int&>(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&&, int&)
  0.33     14.56     0.05    72213     0.00     0.00  ggml_compute_forward_mul
  0.27     14.60     0.04    18931     0.00     0.00  ggml_compute_forward_soft_max
  0.27     14.64     0.04                             ggml_compute_forward
  0.20     14.67     0.03   100916     0.00     0.00  ggml_vec_soft_max_f32
  0.20     14.70     0.03    54736     0.00     0.00  ggml_compute_forward_dup
  0.20     14.73     0.03    21848     0.00     0.00  quantize_row_q8_0
  0.20     14.76     0.03      339     0.09     0.18  common_sampler_sample(common_sampler*, llama_context*, int, bool)
  0.20     14.79     0.03      339     0.09     0.09  void std::__heap_select<llama_token_data*, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_top_k_impl(llama_token_data_array*, int)::{lambda(llama_token_data const&, llama_token_data const&)#1}> >(llama_token_data*, llama_token_data*, llama_token_data*, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_top_k_impl(llama_token_data_array*, int)::{lambda(llama_token_data const&, llama_token_data const&)#1}>)
  0.20     14.82     0.03                             _init
